Id,Question,Answer
1,Câu 1: Hóa đơn điện tử là gì?,"Hóa đơn điện tử là hóa đơn có mã hoặc không có mã của cơ quan thuế được thể hiện ở dạng dữ liệu điện tử do tổ chức, cá nhân bán hàng hóa, cung cấp dịch vụ lập bằng phương tiện điện tử để ghi nhận thông tin bán hàng hóa, cung cấp dịch vụ theo quy định của pháp luật, bao gồm cả trường hợp hóa đơn được khởi tạo từ máy tính tiền có kết nối chuyển dữ liệu điện tử với cơ quan thuế."
2,Câu 2: Có bao nhiêu hình thức đơn điện tử?,"Có 3 hình thức hóa đơn điện tử gồm:
- Hóa đơn điện tử có mã của cơ quan thuế, 
- Hóa đơn điện tử không có mã của cơ quan thuế; và 
- Hóa đơn được khởi tạo từ máy tính tiền có kết nối chuyển dữ liệu với cơ quan thuế."
3,Câu 3: Hóa đơn điện tử có mã của cơ quan thuế là hóa đơn như thế nào? ,"Hóa đơn điện tử có mã của cơ quan thuế là hóa đơn điện tử được cơ quan thuế cấp mã trước khi tổ chức, cá nhân bán hàng hóa, cung cấp dịch vụ gửi cho người mua."
4,Câu 4: Mã của cơ quan thuế trên hóa đơn là gì?,Mã của cơ quan thuế trên hóa đơn điện tử bao gồm số giao dịch là một dãy số duy nhất do hệ thống của cơ quan thuế tạo ra và một chuỗi ký tự được cơ quan thuế mã hóa dựa trên thông tin của người bán lập trên hóa đơn.
5,Câu 5: Hóa đơn điện tử không có mã của cơ quan thuế là hóa đơn gì?,"Hóa đơn điện tử không có mã của cơ quan thuế là hóa đơn điện tử do tổ chức bán hàng hóa, cung cấp dịch vụ gửi cho người mua không có mã của cơ quan thuế."
6,Câu 6: Hóa đơn được khởi tạo từ máy tính tiền có kết nối chuyển dữ liệu với cơ quan thuế là hóa đơn như thế nào?,Hóa đơn điện tử có mã của cơ quan thuế hoặc không có mã của cơ quan thuế được in ra từ máy tính tiền có kết nối chuyển dữ liệu với cơ quan thuế.
7,Câu 7: Hóa đơn được khởi tạo từ máy tính tiền có kết nối chuyển dữ liệu với cơ quan thuế phải đảm bảo nguyên tắc gì?,"Hóa đơn được khởi tạo từ máy tính tiền kết nối chuyển dữ liệu điện tử với cơ quan thuế đảm bảo nguyên tắc sau:
- Nhận biết được hóa đơn in từ máy tính tiền kết nối chuyển dữ liệu điện tử với cơ quan thuế;
- Không bắt buộc có chữ ký số;
- Tra cứu được thông tin hóa đơn từ Cổng thông tin điện tử của Tổng cục Thuế về hóa đơn."
8,Câu 8: Những doanh nghiệp nào được đăng ký áp dụng hóa đơn điện tử có mã của cơ quan thuế? ,"Doanh nghiệp, tổ chức kinh tế, tổ chức khác, hộ, cá nhân kinh doanh không thuộc đối tượng ngừng sử dụng hóa đơn theo quy định đều được đăng ký sử dụng hóa đơn điện tử có mã của cơ quan thuế"
9,"Câu 9: Hộ kinh doanh, cá nhân kinh doanh có được đăng ký áp dụng hóa đơn điện tử có mã của cơ quan thuế không?","Hộ kinh doanh, cá nhân kinh doanh được đăng ký sử dụng hóa đơn điện tử có mã của cơ quan thuế khi bán hàng hóa, cung cấp dịch vụ."
10,Câu 10: Những doanh nghiệp nào được đăng ký áp dụng hóa đơn điện tử không có mã của cơ quan thuế?,"Doanh nghiệp kinh doanh ở lĩnh vực điện lực, xăng dầu, bưu chính viễn thông, nước sạch, tài chính tín dụng, bảo hiểm, y tế, kinh doanh thương mại điện tử, kinh doanh siêu thị, thương mại, vận tải hàng không, đường bộ, đường sắt, đường biển, đường thủy và đáp ứng các điều kiện về cơ sở hạ tầng về công nghệ thông tin thì được áp dụng hóa đơn điện tử không có mã của cơ quan thuế."
11,Câu 11: Cơ sở hạ tầng CNTT như thế nào để được đăng ký áp dụng hóa đơn điện tử không có mã của CQT?,"Doanh nghiệp phải có cơ sở hạ tầng về CNTT để thực hiện giao dịch với cơ quan thuế bằng phương tiện điện tử; có hệ thống phần mềm kế toán, phần mềm lập hóa đơn điện tử đáp ứng lập, tra cứu hóa đơn điện tử, lưu trữ dữ liệu hóa đơn điện tử theo quy định và bảo đảm việc truyền dữ liệu hóa đơn điện tử đến người mua và đến cơ quan thuế"
12,Câu 12: Đối tượng nào được đăng ký áp dụng hóa đơn được khởi tạo từ máy tính tiền kết nối chuyển dữ liệu điện tử với cơ quan thuế? ,"Doanh nghiệp, hộ, cá nhân kinh doanh nộp thuế theo phương pháp kê khai có hoạt động cung cấp hàng hoá, dịch vụ trực tiếp đến người tiêu dùng theo mô hình kinh doanh (trung tâm thương mại; siêu thị; bán lẻ hàng tiêu dùng; ăn uống; nhà hàng; khách sạn; bán lẻ thuốc tân dược; dịch vụ vui chơi, giải trí và các dịch vụ khác) được lựa chọn sử dụng hoá đơn điện tử được khởi tạo từ máy tính tiền có kết nối chuyển dữ liệu điện tử với cơ quan thuế hoặc hóa đơn điện tử có mã, hóa đơn điện tử không có mã."
13,Câu 13: Đối tượng nào nào được sử dụng miễn phí hóa đơn điện tử có mã của cơ quan thuế ?,"Có 2 trường hợp được sử dụng hóa đơn điện tử có mã của cơ quan thuế không thu tiền gồm:
a) Doanh nghiệp nhỏ và vừa, hợp tác xã, hộ, cá nhân kinh doanh tại địa bàn có điều kiện kinh tế - xã hội khó khăn, địa bàn có điều kiện kinh tế - xã hội đặc biệt khó khăn 
b) Doanh nghiệp nhỏ và vừa khác theo đề nghị của Ủy ban nhân dân tỉnh, thành phố trực thuộc Trung ương gửi Bộ Tài chính trừ doanh nghiệp hoạt động tại các khu kinh tế, khu công nghiệp, khu công nghệ cao."
14,Câu 14: Doanh nghiệp được sử dụng miễn phí hóa đơn điện tử có mã của CQT trong bao lâu?,Doanh nghiệp được sử dụng hóa đơn điện tử có mã của cơ quan thuế không phải trả tiền dịch vụ trong thời gian 12 tháng kể từ khi bắt đầu sử dụng hóa đơn điện tử
15,"Câu 15: Trước khi sử dụng hóa đơn điện tử thì doanh nghiệp, tổ chức, hộ cá nhân phải làm gì?","Doanh nghiệp, tổ chức kinh tế, tổ chức khác, hộ, cá nhân kinh doanh muốn đăng ký sử dụng hóa đơn điện tử cần đăng ký sử dụng hóa đơn điện tử thông qua Cổng thông tin điện tử của Tổng cục Thuế hoặc tổ chức cung cấp dịch vụ hóa đơn điện tử và đăng ký theo Mẫu số 01/ĐKTĐ-HĐĐT Phụ lục IA ban hành kèm theo Nghị định số 123/2020/NĐ-CP"
16,Câu 16: Trường hợp đã đăng ký sử dụng đăng ký sử dụng hóa đơn điện tử có mã của cơ quan thuế qua Cổng thông tin điện tử của Tổng cục Thuế nhưng muốn thay đổi thông tin thì có được không?,"Trường hợp Doanh nghiệp, tổ chức kinh tế, tổ chức khác, hộ, cá nhân kinh doanh có thay đổi đăng ký sử dụng hóa đơn điện tử thì doanh nghiệp, tổ chức kinh tế, tổ chức khác, hộ, cá nhân kinh doanh điền các nội dung thay đổi theo Mẫu số 01/ĐKTĐ-HĐĐT Phụ lục IA ban hành kèm theo Nghị định số 123/2020/NĐ-CP"
17,Câu 17: Sau khi đăng ký sử dụng hóa đơn điện tử thì doanh nghiệp phải chờ bao lâu để được sử dụng hóa đơn điện tử?,"Trong thời gian 01 ngày làm việc kể từ ngày nhận được đăng ký sử dụng hóa đơn điện tử, cơ quan thuế có trách nhiệm gửi thông báo điện tử qua tổ chức cung cấp dịch vụ hóa đơn điện tử hoặc gửi thông báo điện tử trực tiếp đến doanh nghiệp, tổ chức kinh tế, tổ chức khác, hộ, cá nhân kinh doanh về việc chấp nhận hoặc không chấp nhận đăng ký sử dụng hóa đơn điện tử."
18,Câu 18: Doanh nghiệp chúng tôi đăng ký sử dụng hóa đơn điện tử không mã của cơ quan thuế và đăng ký chuyển dữ liệu trực tiếp đến cơ quan thuế thì phải làm gì?,Doanh nghiệp đăng ký sử dụng hóa đơn điện tử không có mã của cơ quan thuế và đăng ký chuyển dữ liệu trực tiếp đến cơ quan thuế theo Mẫu số 01/ĐKTĐ-HĐĐT Phụ lục IA ban hành kèm theo Nghị định số 123/2020/NĐ-CP đồng thời doanh nghiệp cần chuẩn bị đủ điều kiện về hạ tầng kỹ thuật và thông báo cho Tổng cục Thuế để phối hợp kết nối.
19,Câu 19: Trong thời gian bao lâu thì doanh nghiệp đăng ký sử dụng hóa đơn điện tử không mã của cơ quan thuế và đăng ký chuyển dữ liệu trực tiếp đến cơ quan thuế được cơ quan thuế thực hiện kết nối?,"Trường hợp doanh nghiệp, tổ chức kinh tế đăng ký chuyển dữ liệu hóa đơn điện tử theo hình thức gửi trực tiếp đến cơ quan thuế được cơ quan thuế ra thông báo chấp nhận đăng ký sử dụng hóa đơn điện tử thì cần phối hợp với Tổng cục Thuế để kiểm thử kết nối. Trong thời gian 10 ngày làm việc kể từ ngày Tổng cục Thuế nhận được đề nghị của doanh nghiệp, tổ chức, Tổng cục Thuế sẽ phối hợp kiểm thử kết nối, truyền nhận dữ liệu. Trường hợp kết quả kiểm thử kết nối, truyền nhận dữ liệu thành công thì doanh nghiệp, tổ chức thực hiện gửi dữ liệu hóa đơn điện tử theo hình thức gửi trực tiếp đến cơ quan thuế theo quy định."
20,"Câu 20: Trường hợp doanh nghiệp nhận được thông báo của cơ quan thuế về việc thực hiện kết nối nhưng doanh nghiệp chưa đáp ứng hạ tầng kỹ thuật hoặc việc kiểm thử kết nối, truyền nhận dữ liệu không thành công thì doanh nghiệp cần làm gì?","Trường hợp sau 05 ngày làm việc kể từ ngày cơ quan thuế gửi thông báo, doanh nghiệp, tổ chức không thông báo cho Tổng cục Thuế để phối hợp kết nối hoặc kết quả kiểm thử kết nối, truyền nhận dữ liệu không thành công, doanh nghiệp, tổ chức thay đổi đăng ký sử dụng hóa đơn điện tử theo Mẫu số 01/ĐKTĐ-HĐĐT Phụ lục IA ban hành kèm theo Nghị định số 123/2020/NĐ-CP và thực hiện chuyển dữ liệu qua Tổ chức kết nối, nhận, truyền lưu trữ dữ liệu hóa đơn điện tử với cơ quan thuế."
21,Câu 21: Hóa đơn điện tử phải theo định dạng nào?,Hóa đơn điện tử sử dụng ngôn ngữ định dạng văn bản XML theo tiêu chuẩn định dạng của cơ quan thuế.
22,Câu 22: Định dạng hóa đơn điện tử theo tiêu chuẩn của cơ quan thuế được quy định tại văn bản nào?,Tiêu chuẩn định dạng hóa đơn điện tử của Cơ quan thuế theo Quyết định số 1450/QĐ-TCT ngày 7/10/2021 của Tổng cục Thuế
23,Câu 23: Hóa đơn điện tử cần có các nội dung gì trên hóa đơn,"Hóa đơn điện tử cần có 10 nội dung cơ bản như sau:
- Tên hóa đơn, ký hiệu hóa đơn, ký hiệu mẫu số hóa đơn;
- Tên liên hóa đơn; 
- Số hóa đơn
- Tên, địa chỉ, mã số thuế của người bán,
- Tên, địa chỉ, mã số thuế của người mua; 
- Các thông tin liên quan đến hàng hóa, dịch vụ mua bán bao gồm: Tên, đơn vị tính, số lượng, đơn giá hàng hóa, dịch vụ; thành tiền chưa có thuế giá trị gia tăng, thuế suất thuế giá trị gia tăng, tổng số tiền thuế giá trị gia tăng theo từng loại thuế suất, tổng cộng tiền thuế giá trị gia tăng, tổng tiền thanh toán đã có thuế giá trị gia tăng.
- Chữ ký của người bán, chữ ký của người mua, 
- Thời điểm lập hóa đơn; 
- Thời điểm ký số trên hóa đơn điện tử
- Mã của cơ quan thuế đối với hóa đơn điện tử có mã của cơ quan thuế"
24,Câu 24: Ký hiệu mẫu số hóa đơn là gì?,"Ký hiệu mẫu số hóa đơn điện tử là ký tự có một chữ số tự nhiên là các số tự nhiên 1, 2, 3, 4, 5, 6 để phản ánh loại hóa đơn điện tử như sau: 
 Số 1: Phản ánh loại hóa đơn điện tử giá trị gia tăng; 
 Số 2: Phản ánh loại hóa đơn điện tử bán hàng; 
 Số 3: Phản ánh loại hóa đơn điện tử bán tài sản công;
 Số 4: Phản ánh loại hóa đơn điện tử bán hàng dự trữ quốc gia;
 Số 5: Phản ánh các loại hóa đơn điện tử khác là tem điện tử, vé điện tử, thẻ điện tử, phiếu thu điện tử hoặc các chứng từ điện tử có tên gọi khác nhưng có nội dung của hóa đơn điện tử theo quy định tại Nghị định số 123/2020/NĐ-CP;
 Số 6: Phản ánh các chứng từ điện tử được sử dụng và quản lý như hóa đơn gồm phiếu xuất kho kiêm vận chuyển nội bộ điện tử, phiếu xuất kho hàng gửi bán đại lý điện tử."
